name para spread error ga
resnameG 125.276998466977 1.47211048854705 1.34039574830597 125.374321624637
resnameA -6.87386139081841 1.22049688290482 1.34039574830597 -6.87386138737202
resnameC 129.172385653962 1.47452711620442 1.34039574830597 129.753763779998
resnameU 133.2997568446 1.20799884799802 1.34039574830597 133.155176013708
ringCurrent -4.9155434829325 1.16227336644477 1.34039574830597 -4.91554348170757
GUA.C1p -4.36954823539883 2.95329206153573 1.34039574830597 -5.73864369094372
GUA.C2p -1.50273582691517 3.06006739275619 1.34039574830597 -1.40773828327656
GUA.C3p -1.39127148492676 3.12352688237505 1.34039574830597 -1.3912714868784
GUA.C4p -0.0468780764404895 3.12667547307475 1.34039574830597 5.47166536748409
GUA.C5p -0.0970165375045087 3.14852898155626 1.34039574830597 -0.464904740452766
GUA.P 0.412654138305573 3.1363928980269 1.34039574830597 -4.96247661113739
GUA.O5p -1.32810117989126 3.13416548765287 1.34039574830597 -1.32810117304325
GUA.O3p -0.218143138601094 3.11859351412507 1.34039574830597 -0.218143135309219
GUA.C2 -24.5346297493121 2.85162951117556 1.34039574830597 -23.8243491351604
GUA.C4 -8.14030016919452 2.91663645145815 1.34039574830597 -8.14030016958714
GUA.C5 -11.9837512645367 2.91694734206703 1.34039574830597 -11.9837512671947
GUA.C6 -8.06495911016405 2.94388825045567 1.34039574830597 -4.00653676688671
GUA.C8 -13.1991376040206 2.91492995205937 1.34039574830597 -5.73295553028584
GUA.N1 26.5335617175429 2.722945205431 1.34039574830597 27.9136718809605
GUA.N2 25.1898892044989 2.55211739948684 1.34039574830597 25.1049726605415
GUA.N3 30.1240080530248 2.76691366441253 1.34039574830597 29.7166170626879
GUA.N7 -13.0594050254791 2.91579311937788 1.34039574830597 -9.79662080109119
GUA.N9 -11.0789444349987 2.94742849704175 1.34039574830597 -7.13238845765591
GUA.O6 -11.5109468959922 2.93282174116902 1.34039574830597 -11.5615318566561
ADE.C1p 7.89642627359596 2.91654792985475 1.34039574830597 3.20958380401134
ADE.C2p 0.133199877813086 3.08084644507756 1.34039574830597 -0.156436860561371
ADE.C3p 1.12996057219983 3.12838217476712 1.34039574830597 -2.8498037904501
ADE.C4p 3.59305321264293 3.10703320984515 1.34039574830597 3.59305320680141
ADE.C5p 1.35461250279976 3.09900676120241 1.34039574830597 -6.06019201874733
ADE.P -0.206989571793956 3.13302668338844 1.34039574830597 -2.14944884181023
ADE.O5p -0.113788116281752 3.09685788375076 1.34039574830597 -0.113788112998009
ADE.O3p 3.07663362801449 3.13601373565268 1.34039574830597 -1.62718459963799
ADE.C2 4.84736040460306 2.53352667513577 1.34039574830597 4.84736040234566
ADE.C4 -2.51502707991068 2.85889649260137 1.34039574830597 -2.51502707600594
ADE.C5 -6.08089384530505 2.82628495025978 1.34039574830597 -13.4998677670956
ADE.C6 0.544211898150248 2.77324920934666 1.34039574830597 0.544211894273758
ADE.C8 -5.37459726154747 2.93037839339347 1.34039574830597 -5.8358753323555
ADE.N1 2.09790313516911 2.32778914900816 1.34039574830597 2.09790313243866
ADE.N3 10.2673998274828 2.36673800702981 1.34039574830597 4.93789908289909
ADE.N6 3.87661242915644 2.52151527834148 1.34039574830597 3.87661242485046
ADE.N7 -6.10906114204577 2.71566968824661 1.34039574830597 -6.29775013029575
ADE.N9 -1.22089519443337 2.91006281418207 1.34039574830597 -1.22089520096779
URA.C1p 4.94012686669464 3.00263213249488 1.34039574830597 4.94012686610222
URA.C2p 1.82127756028003 3.09697749013442 1.34039574830597 1.82127755880356
URA.C3p 1.39621225826097 3.14570430089643 1.34039574830597 1.39621226489544
URA.C4p 1.43493403457864 3.13653109505614 1.34039574830597 1.06700870394707
URA.C5p 1.48656978343453 3.14963762776198 1.34039574830597 1.48656977713108
URA.P 1.31509949573543 3.12741313079037 1.34039574830597 1.31509949266911
URA.O5p 1.36207103106766 3.14226123204274 1.34039574830597 1.36207103729248
URA.O3p 2.94254049759118 3.12333903260932 1.34039574830597 -0.462144181132317
URA.C2 -28.2921701463049 2.68746000334663 1.34039574830597 -21.162103921175
URA.C4 -8.40176387147871 2.9244185688878 1.34039574830597 -8.40176387131214
URA.C5 -0.406237975585472 3.00612827659256 1.34039574830597 5.78231935203075
URA.C6 4.08882812048043 2.97855189404662 1.34039574830597 7.11485601961613
URA.N1 40.1209086693732 2.83963488757269 1.34039574830597 40.1209086626768
URA.N3 11.4571081024413 2.49137105791173 1.34039574830597 11.4571080952883
URA.O4 -16.0875372343241 2.90379516380643 1.34039574830597 -14.8052894324064
CYT.C1p -6.56534829190175 2.98801272447953 1.34039574830597 -6.56534829735756
CYT.C2p -4.74688339056955 3.07965963617841 1.34039574830597 -4.74688339233398
CYT.C3p -3.72375927672456 3.12791453862717 1.34039574830597 -3.72375927865505
CYT.C4p -3.71728277544645 3.07821337843743 1.34039574830597 -3.71728277206421
CYT.C5p -2.61736104309574 3.10581445375125 1.34039574830597 -2.61736103892326
CYT.P -1.46992335753297 3.13269661372485 1.34039574830597 -1.51531431078911
CYT.O5p -2.81528609217752 3.15467143820708 1.34039574830597 -0.663998633623123
CYT.O3p -1.29059223259542 3.12967845390937 1.34039574830597 -6.12740784883499
CYT.C2 -35.0731072163725 2.72484538899692 1.34039574830597 -28.7163187712431
CYT.C4 -9.54826597612498 2.91516862601042 1.34039574830597 -9.54826597869396
CYT.C5 -6.98826673409805 2.98655880215877 1.34039574830597 -7.36833693087101
CYT.C6 -4.31470834787446 3.00190042074386 1.34039574830597 -4.31470835208893
CYT.N1 27.1825121984103 2.87892671840975 1.34039574830597 27.1825121939182
